"ROI_left","ROI_right","Q.Mode","Signal,Position..ppm.","Width","Q.Signal","Multiplicity","J.coupling..Hz.","Roof.effect","Shift.tolerance","Intensity","p_value","NA"
3.547,3.587,"Baseline Fitting","24_1",3.567,1,1,1,0,0,0.001,0,0.752
3.639,3.712,"Baseline Fitting","50_1",3.659,1,1,1,0,0,0.001,0,0.203
3.639,3.712,"Baseline Fitting","23_4",3.692,1,1,1,0,0,0.001,0,0
3.714,3.754,"Baseline Fitting","49_1",3.734,1,1,1,0,0,0.001,0,0.09
3.76,3.836,"Baseline Fitting","23_3",3.78,1,1,1,0,0,0.001,0,0.369
3.76,3.836,"Baseline Fitting","23_2",3.804,1,1,1,0,0,0.001,0,0
3.76,3.836,"Baseline Fitting","23_1",3.816,1,1,1,0,0,0.001,0,0
3.93,3.998,"Baseline Fitting","48_1",3.95,1,1,1,0,0,0.001,0,0.872
3.93,3.998,"Baseline Fitting","4_10",3.971,1,1,1,0,0,0.001,0,0.007
3.93,3.998,"Baseline Fitting","4_9",3.978,1,1,1,0,0,0.001,0,0.125
4.02,4.08,"Baseline Fitting","47_1",4.04,1,1,1,0,0,0.001,0,0.693
4.02,4.08,"Baseline Fitting","46_1",4.06,1,1,1,0,0,0.001,0,0
4.137,4.177,"Baseline Fitting","45_1",4.157,1,1,1,0,0,0.001,0,0.558
4.278,4.326,"Baseline Fitting","44_1",4.298,1,1,1,0,0,0.001,0,0.317
4.278,4.326,"Baseline Fitting","43_1",4.306,1,1,1,0,0,0.001,0,0.221
4.383,4.463,"Baseline Fitting","42_1",4.403,1,1,1,0,0,0.001,0,0
4.383,4.463,"Baseline Fitting","41_1",4.417,1,1,1,0,0,0.001,0,0.212
4.383,4.463,"Baseline Fitting","1_5",4.443,1,1,1,0,0,0.001,0,0
4.499,4.612,"Baseline Fitting","13_2",4.519,1,1,1,0,0,0.001,0,0.497
4.499,4.612,"Baseline Fitting","13_1",4.53,1,1,1,0,0,0.001,0,0.167
4.499,4.612,"Baseline Fitting","40_1",4.557,1,1,1,0,0,0.001,0,0.488
4.499,4.612,"Baseline Fitting","39_1",4.592,1,1,1,0,0,0.001,0,0
4.666,4.714,"Baseline Fitting","12_2",4.686,1,1,1,0,0,0.001,0,0.951
4.666,4.714,"Baseline Fitting","12_1",4.694,1,1,1,0,0,0.001,0,0.472
4.746,4.79,"Baseline Fitting","11_1",4.766,1,1,1,0,0,0.001,0,0.843
4.746,4.79,"Baseline Fitting","38_1",4.77,1,1,1,0,0,0.001,0,0.875
5.05,5.119,"Baseline Fitting","10_2",5.07,1,1,1,0,0,0.001,0,0.627
5.05,5.119,"Baseline Fitting","10_1",5.081,1,1,1,0,0,0.001,0,0.333
5.05,5.119,"Baseline Fitting","37_1",5.099,1,1,1,0,0,0.001,0,0.487
5.711,5.751,"Baseline Fitting","9_5",5.731,1,1,1,0,0,0.001,0,0.12
5.757,5.797,"Baseline Fitting","9_4",5.777,1,1,1,0,0,0.001,0,0.13
5.831,5.88,"Baseline Fitting","9_3",5.851,1,1,1,0,0,0.001,0,0.076
5.831,5.88,"Baseline Fitting","9_2",5.86,1,1,1,0,0,0.001,0,0.123
5.906,5.946,"Baseline Fitting","9_1",5.926,1,1,1,0,0,0.001,0,0.435
6.573,6.613,"Baseline Fitting","36_1",6.593,1,1,1,0,0,0.001,0,0
6.646,6.699,"Baseline Fitting","2_2",6.666,1,1,1,0,0,0.001,0,0
6.646,6.699,"Baseline Fitting","35_1",6.679,1,1,1,0,0,0.001,0,0.001
6.838,6.93,"Baseline Fitting","34_1",6.858,1,1,1,0,0,0.001,0,0.028
